"{null=song_6110, Producer=Henry Mancini, Tracknumber=NULL, Language=NULL, Genre=Jazz, Runtime=2.666666667, Composer=NULL, Record=RCA, Artist=Henry Mancini, Type=NULL, Name=NULL, RDFSchema=The Pink Panther Theme, Writer=Henry Mancini, Album=The Pink Panther (album)}","{null=itunes_197192, URI2=the-terminator, Position=2, Time=2:45, URI1=album, PAGE=itunes - music - cinema century by various artists, URI0=bg, Artist=henry mancini, URI3=id192249781, Name=the pink panther}"
"{null=song_6110, Producer=Henry Mancini, Tracknumber=NULL, Language=NULL, Genre=Jazz, Runtime=2.666666667, Composer=NULL, Record=RCA, Artist=Henry Mancini, Type=NULL, Name=NULL, RDFSchema=The Pink Panther Theme, Writer=Henry Mancini, Album=The Pink Panther (album)}","{null=itunes_138465, URI2=theme-from-love-story-from, Position=6, Time=2:39, URI1=album, PAGE=itunes - music - moon river - the henry mancini collection by henry mancini, URI0=gr, Artist=henry mancini, URI3=id311931596, Name=the pink panther theme}"
"{null=song_6110, Producer=Henry Mancini, Tracknumber=NULL, Language=NULL, Genre=Jazz, Runtime=2.666666667, Composer=NULL, Record=RCA, Artist=Henry Mancini, Type=NULL, Name=NULL, RDFSchema=The Pink Panther Theme, Writer=Henry Mancini, Album=The Pink Panther (album)}","{null=itunes_124072, URI2=umbrellas-cherbourg-i-will, Position=13, Time=3:08, URI1=album, PAGE=itunes - music - cinema classics of the '60s by various artists, URI0=gb, Artist=henry mancini, URI3=id202468270, Name=the pink panther (main theme)}"
"{null=song_6110, Producer=Henry Mancini, Tracknumber=NULL, Language=NULL, Genre=Jazz, Runtime=2.666666667, Composer=NULL, Record=RCA, Artist=Henry Mancini, Type=NULL, Name=NULL, RDFSchema=The Pink Panther Theme, Writer=Henry Mancini, Album=The Pink Panther (album)}","{null=itunes_12586, URI2=ghostbusters-from-ghostbusters, Position=59, Time=2:38, URI1=album, PAGE=itunes - music - 100 movie hits by various artists, URI0=dk, Artist=henry mancini and his orchestra, URI3=id334880432, Name=the pink panther theme (1995 remastered)}"
"{null=song_6110, Producer=Henry Mancini, Tracknumber=NULL, Language=NULL, Genre=Jazz, Runtime=2.666666667, Composer=NULL, Record=RCA, Artist=Henry Mancini, Type=NULL, Name=NULL, RDFSchema=The Pink Panther Theme, Writer=Henry Mancini, Album=The Pink Panther (album)}","{null=itunes_40012, URI2=cinema-century, Position=2, Time=2:45, URI1=album, PAGE=itunes - music - cinema century by various artists, URI0=si, Artist=henry mancini, URI3=id192249781, Name=the pink panther}"
"{null=song_2888, Producer=George Martin, Tracknumber=16, Language=NULL, Genre=Folk rock, Runtime=1.733333333, Composer=NULL, Record=Apple Records, Artist=The Beatles, Type=NULL, Name=NULL, RDFSchema=I Will, Writer=Lennon–McCartney, Album=The Beatles (album)}","{null=itunes_107272, URI2=the-beatles-white-album, Position=16, Time=1:45, URI1=album, PAGE=itunes - music - the beatles (white album) by the beatles, URI0=us, Artist=the beatles, URI3=id401126224, Name=i will}"
"{null=song_2888, Producer=George Martin, Tracknumber=16, Language=NULL, Genre=Folk rock, Runtime=1.733333333, Composer=NULL, Record=Apple Records, Artist=The Beatles, Type=NULL, Name=NULL, RDFSchema=I Will, Writer=Lennon–McCartney, Album=The Beatles (album)}","{null=itunes_153819, URI2=the-beatles-white-album, Position=16, Time=1:45, URI1=album, PAGE=itunes - music - the beatles (white album) by the beatles, URI0=bg, Artist=the beatles, URI3=id401126224, Name=i will}"
"{null=song_2888, Producer=George Martin, Tracknumber=16, Language=NULL, Genre=Folk rock, Runtime=1.733333333, Composer=NULL, Record=Apple Records, Artist=The Beatles, Type=NULL, Name=NULL, RDFSchema=I Will, Writer=Lennon–McCartney, Album=The Beatles (album)}","{null=itunes_128379, URI2=the-beatles-white-album, Position=16, Time=1:45, URI1=album, PAGE=itunes - music - the beatles (white album) by the beatles, URI0=jp, Artist=the beatles, URI3=id401126224, Name=i will}"
"{null=song_2888, Producer=George Martin, Tracknumber=16, Language=NULL, Genre=Folk rock, Runtime=1.733333333, Composer=NULL, Record=Apple Records, Artist=The Beatles, Type=NULL, Name=NULL, RDFSchema=I Will, Writer=Lennon–McCartney, Album=The Beatles (album)}","{null=itunes_158141, URI2=good-night, Position=16, Time=1:45, URI1=album, PAGE=itunes - music - the beatles (white album) by the beatles, URI0=us, Artist=the beatles, URI3=id401126224, Name=i will}"
"{null=song_2888, Producer=George Martin, Tracknumber=16, Language=NULL, Genre=Folk rock, Runtime=1.733333333, Composer=NULL, Record=Apple Records, Artist=The Beatles, Type=NULL, Name=NULL, RDFSchema=I Will, Writer=Lennon–McCartney, Album=The Beatles (album)}","{null=itunes_90007, URI2=birthday, Position=16, Time=1:45, URI1=album, PAGE=itunes - music - the beatles (white album) by the beatles, URI0=gb, Artist=the beatles, URI3=id401126224, Name=i will}"
"{null=song_4403, Producer=Steve Cropper, Tracknumber=NULL, Language=NULL, Genre=Soul music, Runtime=2.416666667, Composer=NULL, Record={Stax Records|Atco Records}, Artist=Otis Redding, Type=NULL, Name=NULL, RDFSchema=Ole Man Trouble, Writer=Otis Redding, Album=Otis Blue: Otis Redding Sings Soul}","{null=itunes_219088, URI2=angel, Position=21, Time=2:35, URI1=album, PAGE=itunes - music - together: the very best of aretha franklin & otis redding by aretha franklin & otis redding, URI0=gb, Artist=otis redding, URI3=id545195911, Name=ole man trouble}"
"{null=song_6983, Producer=George Martin, Tracknumber=2, Language=NULL, Genre={Blues rock|Hard rock}, Runtime={4.016666666666667|4.266666666666667}, Composer=NULL, Record=Apple Records, Artist=The Beatles, Type=NULL, Name=NULL, RDFSchema=Yer Blues, Writer=Lennon–McCartney, Album=The Beatles (album)}","{null=itunes_128382, URI2=the-beatles-white-album, Position=2, Time=4:00, URI1=album, PAGE=itunes - music - the beatles (white album) by the beatles, URI0=jp, Artist=the beatles, URI3=id401126224, Name=yer blues}"
"{null=song_6983, Producer=George Martin, Tracknumber=2, Language=NULL, Genre={Blues rock|Hard rock}, Runtime={4.016666666666667|4.266666666666667}, Composer=NULL, Record=Apple Records, Artist=The Beatles, Type=NULL, Name=NULL, RDFSchema=Yer Blues, Writer=Lennon–McCartney, Album=The Beatles (album)}","{null=itunes_158144, URI2=good-night, Position=2, Time=4:00, URI1=album, PAGE=itunes - music - the beatles (white album) by the beatles, URI0=us, Artist=the beatles, URI3=id401126224, Name=yer blues}"
