"URI","rdf-schema#label","runtime","album_label","album","artist_label","artist","composer_label","composer","genre_label","genre","language_label","language","previousWork_label","previousWork","producer_label","producer","recordDate","recordLabel_label","recordLabel","recordedIn_label","recordedIn","releaseDate","runtime","subsequentWork_label","subsequentWork","title","trackNumber","type_label","type","writer_label","writer"
"http://dbpedia.org/resource/%C3%80_force_de_prier","À force de prier","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","French language","http://dbpedia.org/resource/French_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Dès que le printemps revient","http://dbpedia.org/resource/D%C3%A8s_que_le_printemps_revient","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%80_la_folie_ou_pas_du_tout_(song)","À la folie ou pas du tout (song)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","French language","http://dbpedia.org/resource/French_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%81gua_de_Beber","Água de Beber","2.8333333333333335","The Composer of Desafinado Plays","http://dbpedia.org/resource/The_Composer_of_Desafinado_Plays","Antônio Carlos Jobim","http://dbpedia.org/resource/Ant%C3%B4nio_Carlos_Jobim","Antônio Carlos Jobim","http://dbpedia.org/resource/Ant%C3%B4nio_Carlos_Jobim","Bossa nova","http://dbpedia.org/resource/Bossa_nova","Portuguese language","http://dbpedia.org/resource/Portuguese_language","NULL","NULL","Creed Taylor","http://dbpedia.org/resource/Creed_Taylor","NULL","Verve Records","http://dbpedia.org/resource/Verve_Records","NULL","NULL","NULL","170.0","NULL","NULL","NULL","NULL","NULL","NULL","Vinicius de Moraes","http://dbpedia.org/resource/Vinicius_de_Moraes"
"http://dbpedia.org/resource/%C3%84ngeln_i_rummet__%C3%84ngeln_i_rummet__1","NULL","4.216666666666667","Sjung","http://dbpedia.org/resource/Sjung","Laleh Pourkarim","http://dbpedia.org/resource/Laleh_Pourkarim","NULL","NULL","{Indie pop|Synthpop}","{http://dbpedia.org/resource/Indie_pop|http://dbpedia.org/resource/Synthpop}","NULL","NULL","NULL","NULL","Christian Walz","http://dbpedia.org/resource/Christian_Walz","NULL","{Warner Music Group|TV4 (Sweden)|Universal Music Group}","{http://dbpedia.org/resource/Warner_Music_Group|http://dbpedia.org/resource/TV4_(Sweden)|http://dbpedia.org/resource/Universal_Music_Group}","NULL","NULL","2011-11-06","253.0","NULL","NULL","NULL","NULL","NULL","NULL","Eva Dahlgren","http://dbpedia.org/resource/Eva_Dahlgren"
"http://dbpedia.org/resource/%C3%84r_du_min_%C3%A4lskling_%C3%A4n%3F","Är du min älskling än?","NULL","K%C3%A4rlekens_hus","http://dbpedia.org/resource/K%C3%A4rlekens_hus","Janne_%C3%96nnered","http://dbpedia.org/resource/Janne_%C3%96nnered","Runo_Wallebom","http://dbpedia.org/resource/Runo_Wallebom","Dansband","http://dbpedia.org/resource/Dansband","Swedish language","http://dbpedia.org/resource/Swedish_language","NULL","NULL","NULL","NULL","NULL","Frituna_produktion","http://dbpedia.org/resource/Frituna_produktion","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Song","http://dbpedia.org/resource/Song","Runo_Wallebom","http://dbpedia.org/resource/Runo_Wallebom"
"http://dbpedia.org/resource/%C3%85_%C3%A6_kjinne_ein_kar","Å æ kjinne ein kar","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%87oban_Y%C4%B1ld%C4%B1z%C4%B1","Çoban Yıldızı","3.2","NULL","NULL","Timur Selçuk","http://dbpedia.org/resource/Timur_Sel%C3%A7uk","Melih Kibar","http://dbpedia.org/resource/Melih_Kibar","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","192.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%89l_(song)","Él (song)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Spain","http://dbpedia.org/resource/Spain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","¿Quién maneja mi barca?","http://dbpedia.org/resource/%C2%BFQui%C3%A9n_maneja_mi_barca%3F","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%8Dme_%C3%A1nthropos_ki_eg%C3%B3","Íme ánthropos ki egó","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Greek language","http://dbpedia.org/resource/Greek_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sti Fotia","http://dbpedia.org/resource/Sti_Fotia","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%92ran_na_Cloiche","Òran na Cloiche","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
