"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"Czech Republic","618","Zdenek Tuma","1.900 thousand","PRAGUE","1.242 thousand","315","http://dbpedia.org/resource/Prague"
"Denmark","619","Frank Jensen","1.096 thousand","COPENHAGEN","1.096 thousand","369","http://dbpedia.org/resource/Copenhagen"
"Dominican Republic","620","Roberto Salcedo","3.813 thousand","SANTO DOMINGO","2.989 thousand","80","http://dbpedia.org/resource/Santo_Domingo"
"Dominican Republic","621","Gilberto Serulle","1.937.000","Santiago de los Caballeros","1.329 thousand","284","http://dbpedia.org/resource/Santiago_de_los_Caballeros"
"Mexico","622","Eruviel �vila Villegas","1.690 thousand","Ecatepec","1.688 thousand","178","http://dbpedia.org/resource/Ecatepec_de_Morelos"
"Canada","623","Stephen Mandel","1.035 thousand","Edmonton","730 thousand","526","http://dbpedia.org/resource/Edmonton"
"Netherlands","624","R van Gijzel","440 thousand","Einhoven","212 thousand","n/r","http://dbpedia.org/resource/Eindhoven"
"Russia","625","Eugene Porunov","1.389 thousand","Ekaterinburg","1.323 thousand","286","http://dbpedia.org/resource/Yekaterinburg"
"Germany","626","Andreas Bausewein",,"Erfurt","203 thousand","n/r","http://dbpedia.org/resource/Erfurt"
"Iran","627","Morteza Saqaeian Nejad","2.600 thousand","Esfahan","1.584 thousand","197","http://dbpedia.org/resource/Isfahan"
"Germany","628","Reinhard Pa�",,"Essen","580 thousand","579","http://dbpedia.org/resource/Essen"
"China","629","n/k",,"Ezhou","1.064 thousand","385","http://dbpedia.org/resource/Ezhou"
"Pakistan","630","Rana Zahid Tauseef","5.081 thousand","Faisalabad","2.510 thousand","107","http://dbpedia.org/resource/Faisalabad"
"India","631","n/k","2.193 thousand","Faridabad","1.055 thousand","387","http://dbpedia.org/resource/Faridabad"
"China","632","n/k",,"Feicheng","960 thousand","426","http://dbpedia.org/resource/Feicheng"
"China","633","n/k",,"Fengcheng","1.250 thousand","310","http://dbpedia.org/resource/Fengcheng._Liaoning"
"Morocco","634","n/k",,"Fes","1.009 thousand","405","http://dbpedia.org/resource/Fes"
"Morocco","635","n/k","921 thousand","Fez","921 thousand","438","http://dbpedia.org/resource/Fes"
"Italy","636","Matteo Renzi","825 thousand","Florence","375 thousand","n/r","http://dbpedia.org/resource/Florence"
"Brazil","637","Luizianne Lins","3.415 thousand","Fortaleza","2.506 thousand","108","http://dbpedia.org/resource/Fortaleza"
"Germany","638","Petra Roth","2.717 thousand","Frankfurt","665 thousand","557","http://dbpedia.org/resource/Frankfurt"
"Sierra Leone","639","Herbert-George Williams","1.032 thousand","FREETOWN","1.032 thousand","395","http://dbpedia.org/resource/Freetown"
"Germany","640","Dieter Salomon",,"Freiburg","220 thousand","n/r","http://dbpedia.org/resource/Freiburg_im_Breisgau"
"USA","641","Ashley Swearengin","1.000 thousand","Fresno","500 thousand","n/r","http://dbpedia.org/resource/Fresno._California"
"Brazil","400","Jo�o Henrique Carneiro","3.173 thousand","Salvador da Bahia","2.998 thousand","79","http://dbpedia.org/resource/Salvador._Bahia"
"Japan","642","Hiroshi Yoshida","2.230 thousand","Fukuoka","1.450 thousand","234","http://dbpedia.org/resource/Fukuoka"
"Brazil","401","Luizianne Lins","3.415 thousand","Fortaleza","2.506 thousand","108","http://dbpedia.org/resource/Fortaleza"
"China","643","n/k",,"Fuqing","1.200 thousand","323","http://dbpedia.org/resource/Fuqing"
"Brazil","402","Marcio Lacerda","5.397 thousand","Belo Horizonte","2.453 thousand","114","http://dbpedia.org/resource/Belo_Horizonte"
"China","644","Wang Yang","2.300 thousand","Fushun","1.445 thousand","238","http://dbpedia.org/resource/Fushun"
"Brazil","403","Jos� Roberto Arruda","2.090 thousand","BRASILIA","2.089 thousand","134","http://dbpedia.org/resource/Bras%C3%ADlia"
"China","645","n/k","969 thousand","Fuxin","690 thousand","541","http://dbpedia.org/resource/Fuxin"
"Brazil","404","Carlos Richa","3.261 thousand","Curitiba","1.851 thousand","153","http://dbpedia.org/resource/Curitiba"
"China","646","Sun Yunfei",,"Fuyang","1.720 thousand","174","http://dbpedia.org/resource/Fuyang"
"Brazil","405","Amazonino Mendes","1.924 thousand","Manaus","1.739 thousand","173","http://dbpedia.org/resource/Manaus"
"China","647","Yuan Rongxiang","6.630 thousand","Fuzhou (Fujian)","2.710 thousand","91","http://dbpedia.org/resource/Fuzhou"
"Brazil","406","Jo�o da Costa Bezerra Filho","3.769 thousand","Recife","1.561 thousand","200","http://dbpedia.org/resource/Recife"
"China","648","X�e Y�s��","3.700 thousand","Fuzhou (Jiangxi)","1.020 thousand","399","http://dbpedia.org/resource/Fuzhou._Jiangxi"
"Brazil","407","Duciomar Costa","1.913 thousand","Belem","1.409 thousand","251","http://dbpedia.org/resource/Bel%C3%A9m"
"China","649","n/k",,"Gaozhou","1.650 thousand","185","http://dbpedia.org/resource/Gaozhou"
"Brazil","408","Jos� Fortunati","3.646 thousand","Porto Alegre","1.355 thousand","273","http://dbpedia.org/resource/Porto_Alegre"
"Brazil","409","Sebasti�o Moreira","1.500 thousand","Guarulhos","1.283 thousand","300","http://dbpedia.org/resource/Guarulhos"
"Palestine","650","n/k","1.000 thousand","Gaza","410 thousand","n/r","http://dbpedia.org/resource/Gaza"
"Turkey","651","n/k","1.912 thousand","Gaziantep","927 thousand","434","http://dbpedia.org/resource/Gaziantep"
"Brazil","410","�ris Rezende Machado","2.064 thousand","Goiania","1.282 thousand","301","http://dbpedia.org/resource/Goi%C3%A2nia"
"Poland","652","Pawel Adamowicz","866 thousand","Gdansk","457 thousand","n/r","http://dbpedia.org/resource/Gda%C5%84sk"
"Brazil","411","H�lio de Oliveira Santos","3.200 thousand","Campinas","1.059 thousand","386","http://dbpedia.org/resource/Campinas"
"Germany","653","Frank Baranowski",,"Gelsenkirchen","262 thousand","n/r","http://dbpedia.org/resource/Gelsenkirchen"
